Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",110.950000,-89.100000,0.000000,top
"C2","22u","C_0805_2012Metric",112.450000,-95.100000,-90.000000,top
"C3","10p","C_0402_1005Metric",92.400000,-81.800000,-90.000000,top
"C4","10u","C_0603_1608Metric",99.975000,-75.350000,0.000000,top
"C5","100n","C_0402_1005Metric",98.780000,-88.600000,0.000000,top
"C6","100n","C_0402_1005Metric",96.750000,-79.880000,-90.000000,top
"C7","10p","C_0402_1005Metric",92.400000,-84.070000,-90.000000,top
"C8","100n","C_0402_1005Metric",100.020000,-76.860000,0.000000,top
"C9","100n","C_0402_1005Metric",108.400000,-80.000000,-90.000000,top
"C10","100n","C_0402_1005Metric",105.475000,-88.450000,180.000000,top
"C11","10n","C_0402_1005Metric",96.400000,-83.800000,180.000000,top
"C12","1u","C_0402_1005Metric",96.750000,-85.410000,-90.000000,top
"C13","1u","C_0402_1005Metric",95.200000,-88.020000,-90.000000,top
"D1","RED","LED_0201_0603Metric",114.175000,-94.350000,90.000000,top
"FB1","120R","L_0201_0603Metric",95.200000,-86.000000,-90.000000,top
"J1","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",99.830000,-69.400000,-90.000000,top
"J2","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",91.870000,-97.620000,90.000000,top
"J3","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",112.630000,-69.400000,-90.000000,top
"J4","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",119.900000,-81.400000,90.000000,top
"R1","1k5","R_0402_1005Metric",114.200000,-96.400000,-90.000000,top
"R2","1k5","R_0402_1005Metric",94.890000,-94.975000,180.000000,top
"R3","1k5","R_0402_1005Metric",97.915000,-94.990000,0.000000,top
"R4","10k","R_0402_1005Metric",91.525000,-76.060000,90.000000,top
"R5","1k5","R_0402_1005Metric",113.425000,-80.725000,-90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",83.825000,-78.200000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",106.950000,-93.850000,180.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",102.550000,-82.600000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",89.550000,-81.200000,-90.000000,top
